小区名称,户型,面积,区域,楼层,朝向,单价（平方米）Y,建筑时间
德州二村,2室1厅,50.57,浦东,低区/6层,朝西南,57346,1984年建
绿洲康城亲水湾,1室1厅,61.92,浦东,中区/22层,朝南,59431,2012年建
崮山小区,1室1厅,53.92,浦东,中区/6层,朝南,82529,1997年建
绿洲康城亲水湾,1室1厅,69.91,浦东,高区/22层,朝南,54355,2012年建
恒大华城天地苑,1室2厅,70.67,浦东,低区/11层,朝,75703,2002年建
绿茵苑（浦东）,2室1厅,72.31,浦东,高区/6层,朝南,51860,1998年建
恒大翰城瀚林苑,2室2厅,91.93,浦东,中区/6层,朝南北,65267,2002年建
东陆新村五街坊,3室1厅,77.85,浦东,高区/6层,朝南,60629,2003年建
锦绣一方名苑,3室2厅,132.76,浦东,中区/11层,朝南北,70804,2002年建
泉东小区,2室1厅,56.89,浦东,低区/6层,朝南,93162,
华高一村,3室1厅,93.12,浦东,高区/6层,朝南北,39733,1994年建
世茂滨江花园,2室2厅,126.39,浦东,中区/56层,朝西北,90988,
艺泰安邦,3室2厅,131.71,浦东,低区/17层,朝南北,29230,2007年建
高科西路2847弄,2室1厅,83.86,浦东,低区/6层,朝南,59623,1994年建
民星苑,2室1厅,64.59,浦东,低区/6层,朝南北,54187,1997年建
博一小区,3室1厅,80.97,浦东,中区/6层,朝南,55576,1995年建
上钢三村,1室1厅,41.84,浦东,高区/6层,朝南,56166,
梅园六街坊,2室1厅,52.58,浦东,高区/6层,朝南,98516,1993年建
罗山五村,2室1厅,60.99,浦东,高区/6层,朝南北,54927,1990年建
金谊河畔,2室2厅,113.19,浦东,低区/16层,朝南,64051,2009年建
浦发绿城,3室2厅,113.11,浦东,高区/11层,朝南北,49509,2005年建
泾华新村,1室1厅,49.3,浦东,高区/6层,朝南北,60851,1992年建
新世纪花苑（浦东）,1室1厅,50.85,浦东,中区/7层,,70403,1996年建
博山公寓,3室2厅,127.17,浦东,低区/14层,朝东南,58976,1998年建
证大家园（公寓）,2室2厅,88.72,浦东,中区/5层,朝南北,78899,2005年建
金杨新村十街坊,2室1厅,57.46,浦东,高区/6层,朝南北,56561,1993年建
凌兆路608弄,2室1厅,74.67,浦东,中区/6层,朝南北,61604,1996年建
名嘉新苑,4室2厅,146.21,浦东,高区/18层,朝南北,60187,2007年建
上南二村,3室0厅,65.61,浦东,高区/6层,朝南,64776,1989年建
名嘉新苑,4室2厅,146.47,浦东,中区/17层,朝南北,62128,2007年建
中房樱桃苑,3室2厅,131.15,浦东,高区/14层,朝南北,72436,2006年建
同方锦城,3室2厅,117.34,浦东,高区/6层,朝南北,58803,2004年建
瑞苑公寓,3室2厅,181.62,浦东,高区/40层,朝南,70476,2001年建
凌兆新村（上浦路510弄）,2室1厅,56.12,浦东,高区/6层,朝南,56129,1994年建
翰城国际,3室2厅,113.95,浦东,低区/13层,朝南北,66695,2004年建
上南六村,1室0厅,28.7,浦东,中区/6层,朝南,73867,
黄山始信苑,2室2厅,76.47,浦东,中区/4层,朝南北,70615,1999年建
东陆新村六街坊,3室1厅,82.42,浦东,高区/6层,朝南,47925,1995年建
大华锦绣华城（十二街区）,2室2厅,92.37,浦东,高区/6层,朝南北,77947,2003年建
上海滩花园洋房,4室2厅,203.14,浦东,中区/5层,朝南北,86147,
金杨七街坊,2室1厅,69.01,浦东,低区/6层,朝南,56513,1995年建
新里城和合苑,3室2厅,114.11,浦东,中区/6层,朝南北,65726,1999年建
兰园小区,2室1厅,60,浦东,高区/6层,朝南北,74666,1988年建
南杨小区（长清路）,2室1厅,58.29,浦东,高区/24层,朝南,57471,2001年建
康桥宝邸,3室2厅,101.67,浦东,高区/11层,朝南北,41310,2007年建
京浦小区,2室1厅,62.7,浦东,高区/6层,朝南,47846,1995年建
潍坊四村,2室0厅,49.17,浦东,高区/6层,朝南北,65080,1982年建
沂南路54弄,1室0厅,30.7,浦东,高区/6层,朝南,68403,1981年建
南新一村（下南路161弄）,2室1厅,80.74,浦东,中区/6层,,44587,
罗山花苑,2室2厅,69.28,浦东,高区/6层,朝南,93822,
海尚康庭,2室2厅,72.49,浦东,中区/14层,朝南,42074,2008年建
中邦城市,2室2厅,98.25,浦东,低区/12层,朝南北,55979,2006年建
潍坊二村,2室1厅,48.73,浦东,高区/6层,朝,67720,1978年建
荡湾新村,2室1厅,53.26,浦东,高区/6层,朝南北,30041,1986年建
阳光苑,2室2厅,84.9,浦东,高区/6层,朝南,37691,1997年建
万达广场（周浦）,1室1厅,55.81,浦东,中区/26层,朝东,24189,2009年建
金台三居,2室2厅,98.19,浦东,低区/6层,朝南北,50412,2000年建
康桥花园,3室2厅,95.01,浦东,高区/6层,朝南,45258,1995年建
民风小区,2室1厅,79.7,浦东,中区/5层,朝南北,37641,1995年建
鼎城丽景苑,3室2厅,127.55,浦东,中区/13层,朝,35280,2009年建
金桥酒店公寓,1室0厅,47.73,浦东,高区/19层,朝东南,94280,
昱龙家园,3室2厅,93.32,浦东,中区/5层,朝南北,39648,2006年建
汇丽苑,3室2厅,132.65,浦东,高区/12层,朝南北,42216,
泾华新村,1室0厅,34.85,浦东,中区/6层,朝南,74605,1992年建
金杨新村八街坊,2室1厅,91.47,浦东,中区/24层,朝东北,47556,1996年建
毕加索小镇（一期）（公寓）,3室2厅,232.15,浦东,低区/8层,朝南北,42214,2010年建
学前二村,2室1厅,65.59,浦东,高区/6层,朝南,47263,1993年建
地杰国际城,3室2厅,110.22,浦东,高区/27层,朝南北,51714,2009年建
巨西小区,1室1厅,35.95,浦东,低区/6层,朝南,76495,1993年建
泾东小区,1室1厅,45.01,浦东,高区/6层,朝南,73317,
惠德新邨,3室1厅,93.32,浦东,中区/7层,朝南,58936,1996年建
罗山五村,2室1厅,58.24,浦东,低区/6层,朝南,56662,1990年建
梅园五街坊,2室1厅,57.44,浦东,高区/6层,朝南北,92270,1994年建
恒大小区,2室1厅,64.22,浦东,高区/6层,朝南,56057,1995年建
东陆新村七街坊,2室1厅,57.71,浦东,高区/6层,朝南北,45919,1997年建
汇智湖畔家园,2室2厅,87.69,浦东,高区/17层,朝南北,96932,2013年建
汇智湖畔家园,3室2厅,111.06,浦东,高区/18层,朝南北,88240,2013年建
世茂滨江花园,2室2厅,147.39,浦东,中区/47层,朝西北,94986,
绿洲康城亲水湾,3室2厅,124.35,浦东,高区/12层,朝南北,61117,2010年建
潍坊九村,2室0厅,49.47,浦东,低区/6层,朝,84899,1986年建
万科金色城市,3室2厅,89.25,浦东,高区/18层,朝南北,76750,
桃李家园,2室2厅,89.25,浦东,低区/6层,朝南北,67226,2000年建
济阳二村,2室1厅,65.69,浦东,中区/18层,朝南,60130,1993年建
阳明花园广场,2室2厅,103.31,浦东,中区/19层,朝西南,41428,1996年建
香楠小区,2室1厅,62.75,浦东,中区/6层,朝南,57370,
云台路86号,2室1厅,75.3,浦东,高区/16层,朝南,63745,1993年建
恒大华城新华苑,3室1厅,87.74,浦东,中区/6层,朝,61545,1998年建
绿洲康城亲水湾,2室2厅,102.95,浦东,中区/7层,朝南北,54395,2007年建
合欢公寓,2室1厅,69.5,浦东,低区/6层,朝南北,43597,1999年建
御桥花园,2室1厅,63,浦东,中区/6层,朝南北,57142,1996年建
品华苑,2室2厅,76.55,浦东,高区/6层,朝南北,54082,1999年建
潍坊八村,2室0厅,51.79,浦东,中区/6层,朝南北,75304,1984年建
桃林小区,2室2厅,81.98,浦东,中区/6层,朝南北,95145,1996年建
鑫龙佳苑,3室1厅,112.44,浦东,中区/6层,,36463,1997年建
由由五村,2室1厅,54.91,浦东,低区/6层,朝南北,59187,1994年建
巨峰家苑（公寓）,2室2厅,99.45,浦东,中区/13层,朝南北,62342,2005年建
凌云公寓（浦东）,2室1厅,66.45,浦东,低区/18层,朝南,54928,1999年建
明珠苑（浦东）,3室2厅,88.86,浦东,中区/6层,朝南北,87778,1998年建
金地未未来,2室2厅,89.31,浦东,中区/15层,朝南,72780,2009年建
同方锦城,3室2厅,110.29,浦东,低区/6层,朝南,64829,2003年建
金新花苑,2室2厅,77.38,浦东,中区/6层,朝南,49108,
富特三村,3室1厅,73.38,浦东,高区/6层,朝南,44289,1994年建
金光小区,2室1厅,60.16,浦东,低区/6层,朝,58178,1997年建
金顺小区,2室1厅,77.13,浦东,中区/6层,朝南,62880,1994年建
南杨花园,2室1厅,82.1,浦东,低区/6层,朝南,57856,1997年建
雍江星座香园,2室1厅,92.91,浦东,中区/6层,朝南北,77494,2002年建
新里城和合苑,2室1厅,69.57,浦东,高区/6层,朝南,67557,1999年建
天虹苑,3室2厅,130.43,浦东,低区/12层,朝南北,67469,2003年建
潼港八村,2室1厅,70.94,浦东,高区/6层,朝南,42289,1994年建
三林世博家园（大道站路94弄）,3室2厅,115.78,浦东,高区/6层,朝南北,48367,2006年建
翰锦苑,2室2厅,100.17,浦东,低区/13层,朝南北,64889,2003年建
大华锦绣华城（一街区）,4室2厅,73.58,浦东,高区/6层,朝南北,92416,2008年建
羽山路1000弄,2室1厅,67.04,浦东,低区/6层,朝南北,85023,1997年建
凌兆新村（上浦路165弄）,1室1厅,51.66,浦东,高区/6层,朝南,54200,1995年建
品新苑,3室2厅,111.43,浦东,低区/18层,朝南,51153,2000年建
万馨佳园,3室2厅,98.71,浦东,低区/6层,朝南北,47107,2005年建
樱花坊,2室1厅,77.49,浦东,高区/6层,朝南北,83236,1995年建
文化馨苑,3室2厅,122.44,浦东,中区/6层,朝南,62071,2004年建
云台一小区,2室1厅,59.23,浦东,高区/6层,朝南,60442,1994年建
香山新村西北街坊,2室1厅,67.29,浦东,高区/6层,朝南,57215,1996年建
潍坊七村,2室0厅,46.36,浦东,低区/6层,朝南北,84124,1983年建
金桥新家园,2室2厅,79.88,浦东,低区/20层,朝西南,62593,2005年建
毕加索小镇（一期）（公寓）,2室2厅,166.6,浦东,低区/8层,朝南北,36014,2010年建
金桥都市花园,2室2厅,106.19,浦东,低区/11层,朝南北,59327,2000年建
浦三小区,2室1厅,67.26,浦东,低区/6层,朝南,48319,1997年建
宏莲馨苑,2室2厅,93.1,浦东,中区/6层,朝南,65520,2003年建
东陆新村九街坊,2室1厅,67.63,浦东,中区/6层,朝南北,53230,1996年建
东陆新村六街坊,3室1厅,82.79,浦东,高区/6层,朝南,45899,1995年建
罗山四村,2室1厅,60.13,浦东,高区/6层,朝南北,54881,1990年建
新里城和合苑,3室2厅,113.78,浦东,高区/5层,朝南北,66795,1999年建
沪东新村,1室1厅,36.31,浦东,中区/5层,朝南,48196,1953年建
海东公寓,2室2厅,79.87,浦东,高区/6层,朝南,55715,1997年建
寿光路161弄,1室1厅,43.93,浦东,低区/6层,朝东南,52356,1994年建
金杨七街坊,1室1厅,47.27,浦东,高区/6层,朝南,50772,
巨峰家苑（公寓）,1室1厅,56.02,浦东,高区/6层,朝南,61585,2005年建
金桥新村四街坊（长岛路1203弄）,2室1厅,72.28,浦东,中区/6层,朝南北,62257,1997年建
上浦小区,2室2厅,91.7,浦东,中区/6层,朝南北,35114,1993年建
都林嘉苑（南苑）（杨南路1168弄）,2室2厅,89.21,浦东,中区/5层,,62773,2002年建
翰锦苑,2室2厅,97.52,浦东,低区/13层,朝南北,64602,2003年建
双桥小区,2室1厅,75.97,浦东,高区/6层,朝南北,61208,1997年建
恒大华城上河苑,3室2厅,107.48,浦东,中区/6层,朝南,67919,2001年建
明丰花园,5室2厅,125.78,浦东,低区/6层,朝南北,61217,2003年建
香山新村东北街坊,2室1厅,60.91,浦东,低区/6层,朝南北,60745,1995年建
浦东世纪花园（公寓）,3室2厅,181.7,浦东,低区/21层,朝南北,85855,2002年建
住友名人花园,2室2厅,106.14,浦东,中区/18层,朝南北,70661,2002年建
东源名都,2室2厅,103.87,浦东,低区/18层,朝南,51988,2009年建
品华苑,2室1厅,76.06,浦东,中区/6层,朝南,55219,1999年建
万邦都市花园,3室2厅,112.84,浦东,低区/18层,朝南,82949,
杉林新月（环林东路799弄）,2室1厅,77.58,浦东,低区/16层,朝,52848,2004年建
东旺名苑,4室3厅,76.8,浦东,高区/6层,朝南,84635,2010年建
东方知音苑,2室2厅,87.62,浦东,中区/11层,朝南北,79890,2003年建
金藤苑,2室1厅,63.5,浦东,低区/6层,朝南北,53543,1998年建
大唐盛世花园,3室2厅,139.88,浦东,低区/11层,朝南北,89362,2008年建
明丰花园,3室2厅,126.29,浦东,低区/11层,朝南北,57011,2003年建
东南新村（浦东）,1室1厅,34.91,浦东,高区/5层,朝南,85362,
名嘉新苑,3室2厅,125.57,浦东,中区/18层,朝南北,61718,2007年建
东方知音苑,4室2厅,137.53,浦东,中区/5层,朝南北,81436,2002年建
大华锦绣华城（十二街区）,3室2厅,102.07,浦东,高区/6层,朝南,80337,2003年建
东城新村,3室1厅,78.48,浦东,高区/7层,朝南,76452,2000年建
浦东南路4800弄,1室1厅,43.25,浦东,低区/7层,朝南,64739,1987年建
上南十村,3室1厅,74.72,浦东,低区/6层,朝南北,61563,1992年建
汇豪天下,2室2厅,88.93,浦东,低区/35层,朝南,110199,
万科金色雅筑,3室2厅,89.7,浦东,中区/11层,朝南北,72463,2008年建
巨峰家苑（公寓）,2室2厅,99.08,浦东,低区/7层,朝南北,62575,2005年建
长岛公寓,3室1厅,99.81,浦东,中区/24层,朝东南,44083,2000年建
中环滨江大厦,2室2厅,89.31,浦东,高区/14层,朝南,62702,2008年建
晓园,2室2厅,150.6,浦东,低区/9层,朝西南,86985,
金桥新村四街坊（长岛路1201弄）,3室1厅,85.01,浦东,高区/6层,朝南,59992,1997年建
展想悦廷,1室1厅,52.98,浦东,中区/16层,朝西,32087,2007年建
八方大厦,2室1厅,113.01,浦东,中区/26层,朝南,57517,1998年建
金宝公寓,2室2厅,91,浦东,低区/5层,朝南北,38461,2004年建
新领地,1室1厅,62.03,浦东,中区/29层,,50781,2002年建
南杨花园,2室1厅,60.3,浦东,高区/6层,朝南,63847,1996年建
东陆新村八街坊,1室1厅,54.18,浦东,高区/6层,朝南,54817,1996年建
百富达公寓,4室2厅,149.25,浦东,中区/6层,朝南北,53534,1997年建
张杨路370弄,1室0厅,30.48,浦东,高区/6层,朝南,86942,1985年建
临沂八村,2室1厅,55.59,浦东,中区/6层,朝西南,58463,1989年建
三林安居苑,2室1厅,64.02,浦东,中区/6层,朝南北,56076,1998年建
金谊河畔,2室2厅,107.18,浦东,低区/16层,朝南北,66243,2009年建
绿洲康城亲水湾,1室2厅,67.91,浦东,低区/14层,朝南,53011,2010年建
华高二村,3室1厅,86.01,浦东,中区/6层,朝南,49994,1998年建
荷三小区,2室1厅,67.39,浦东,高区/6层,朝南,48671,1995年建
三林世博家园（大道站路94弄）,1室1厅,56.71,浦东,高区/6层,朝南北,57309,2006年建
民康苑,3室2厅,106.52,浦东,高区/17层,朝南北,54449,2008年建
牡丹路186弄,3室1厅,91.32,浦东,低区/6层,朝南北,71178,1995年建
凌兆新村（上浦路201弄）,2室2厅,49.04,浦东,低区/6层,朝,60154,
昌七小区,2室1厅,61,浦东,高区/6层,朝南,56557,1996年建
港机新村,1室0厅,35.78,浦东,高区/6层,朝,58692,1987年建
昌里花园,2室2厅,86,浦东,高区/13层,朝南,68023,1998年建
南杨小区（长清路）,2室1厅,68.47,浦东,低区/6层,,54038,1995年建
荷三小区,2室1厅,55.72,浦东,低区/6层,朝南,53481,1997年建
张江汤臣豪园（二期）,3室2厅,134.65,浦东,中区/16层,朝南北,76494,
华高一村,2室1厅,81.06,浦东,高区/6层,朝南,44411,1997年建
云台二小区,2室1厅,72.55,浦东,低区/24层,朝东南,59131,1995年建
金桥湾清水苑,3室2厅,116.51,浦东,中区/6层,朝南北,54072,1998年建
碧云新天地（一期）,2室2厅,80.01,浦东,高区/6层,朝南北,71241,2002年建
爱法新城,2室2厅,94.61,浦东,高区/6层,朝南北,60247,2002年建
中芯花园（公寓）,2室2厅,89.68,浦东,中区/6层,,62444,2005年建
潍坊一村,2室0厅,47.68,浦东,高区/6层,,66694,1985年建
由由一村,1室1厅,41.37,浦东,低区/5层,朝南,60430,1997年建
金桥新村四街坊（博兴路986弄）,2室1厅,57.79,浦东,中区/6层,朝南,58833,1997年建
金杨新村五街坊,3室2厅,74.34,浦东,高区/6层,朝南,53134,1994年建
联洋花园（二期）,3室2厅,169.62,浦东,低区/18层,朝南,73694,
连城新苑,2室2厅,95.85,浦东,中区/11层,朝南北,56338,2006年建
建业新村,2室1厅,73.99,浦东,中区/6层,朝南,60819,1997年建
大唐盛世花园,3室2厅,143.54,浦东,中区/17层,朝南北,97533,2003年建
金浦小区（塘桥）,1室1厅,41.03,浦东,高区/6层,朝南,67755,1994年建
瑞达苑,3室2厅,105,浦东,中区/5层,朝南北,75714,1999年建
上南翡翠苑,3室2厅,106.32,浦东,低区/6层,朝南北,70541,2006年建
上南二村,2室1厅,69.36,浦东,高区/6层,朝南,61995,1981年建
博一小区,1室1厅,48.78,浦东,高区/6层,朝南,50225,1995年建
塘南小区,3室1厅,46.76,浦东,高区/5层,朝南,70573,1978年建
荷五小区,2室1厅,68.66,浦东,高区/6层,朝南,52432,1995年建
莲杨苑,2室1厅,84.3,浦东,低区/6层,朝南北,64056,2005年建
潼港六村,3室1厅,73.85,浦东,高区/6层,朝南北,41976,1993年建
明纶园,2室2厅,83.46,浦东,低区/6层,朝南北,44332,2003年建
周康四村,1室1厅,56.01,浦东,中区/5层,朝南北,49991,2001年建
潍坊二村,1室1厅,45.43,浦东,低区/6层,朝南,71538,1982年建
星云小区,2室1厅,78.88,浦东,高区/6层,朝南,70993,1995年建
云锦丽苑,2室2厅,84.45,浦东,低区/6层,朝南,18354,2006年建
绿地东上海,2室2厅,114.47,浦东,低区/18层,朝南北,59404,2010年建
海尚乐苑,2室2厅,78.34,浦东,低区/14层,朝南,42124,2010年建
联丰苑,3室1厅,115.75,浦东,低区/6层,朝南北,56155,1999年建
京浦小区,2室1厅,52.59,浦东,中区/6层,朝南北,63700,1995年建
绿地御桥苑,2室1厅,67.47,浦东,高区/6层,,60767,2003年建
天安花园,3室2厅,137.38,浦东,低区/20层,朝南,85893,
博一小区,2室2厅,80.44,浦东,中区/6层,朝南北,53455,1995年建
大华锦绣华城（一街区）,3室2厅,102.17,浦东,高区/18层,朝南北,75853,2008年建
东一小区,1室1厅,46.85,浦东,中区/6层,朝南,55496,1997年建
万邦都市花园,1室1厅,52.31,浦东,低区/11层,朝南,95584,
世茂滨江花园,4室2厅,277.97,浦东,中区/60层,,86340,
德州大楼,2室1厅,81.19,浦东,高区/25层,,56657,1991年建
学北路20弄,3室2厅,107.86,浦东,低区/6层,朝南北,34303,1997年建
上南五村,2室1厅,51.8,浦东,高区/6层,朝南北,59845,1993年建
金旋小区,2室1厅,74.45,浦东,高区/6层,朝南,59100,1995年建
凌霄苑,3室1厅,76.82,浦东,低区/6层,朝南,55975,1999年建
临沂五村,2室1厅,55.45,浦东,低区/6层,朝南北,64923,1990年建
沪东花苑,2室1厅,69.61,浦东,高区/6层,朝南,49561,1995年建
绿洲康城亲水湾,2室2厅,90.29,浦东,低区/15层,朝南,55377,2010年建
凌云公寓（浦东）,2室2厅,93.21,浦东,低区/18层,朝南北,53105,1998年建
康乐花园（浦东）,2室2厅,101.33,浦东,高区/6层,朝南,72041,1998年建
崂山二村,2室1厅,49.16,浦东,低区/6层,朝南,77298,1988年建
双桥小区,3室2厅,100.32,浦东,低区/6层,,64792,2003年建
荷三小区,2室1厅,67.39,浦东,高区/6层,朝南,51936,1994年建
飞旺家园,3室2厅,128.2,浦东,低区/12层,朝南北,64742,2000年建
杉林新月（环林东路799弄）,2室2厅,79.1,浦东,低区/16层,朝南,56890,2004年建
东靖苑,3室2厅,100.05,浦东,低区/6层,朝南北,51974,2001年建
中冶尚城,3室2厅,130.52,浦东,高区/10层,朝南,65124,2010年建
恒大华城梅山苑,2室1厅,64.53,浦东,低区/6层,朝南,65086,1996年建
杉林新月（环林东路799弄）,1室1厅,61.64,浦东,低区/14层,朝南北,51914,2004年建
恒大华城新华苑,2室1厅,70.59,浦东,低区/6层,朝南,66581,1998年建
连城新苑,3室2厅,125.75,浦东,低区/11层,朝南北,54075,2006年建
潍坊三村,1室0厅,32.75,浦东,中区/5层,朝南,74809,1981年建
洋泾花园城,2室2厅,89.5,浦东,中区/6层,朝南北,73743,1996年建
潍坊八村,2室1厅,51.6,浦东,高区/6层,朝南北,74612,1984年建
